Condiciones_20_del_20_hogar_Sexo,Condiciones_20_del_20_hogar_Zona,Condiciones_20_del_20_hogar_Departamento,Condiciones_20_del_20_hogar_Etario,Condiciones_20_del_20_hogar_No_carente,Condiciones_20_del_20_hogar_Valor,Condiciones_20_del_20_hogar_Total,Condiciones_20_del_20_hogar_Proporción,Condiciones_20_del_20_hogar_Variable,Condiciones_20_del_20_hogar_ID,Condiciones_20_del_20_hogar_Nombre_dpto
Hombre,Rural,13,Menor,80247.06,15346.02,95593.08,0.160534842061789,Sin paredes duraderas,6533,Bolívar
Hombre,Rural,15,Mayor,12770.63,158603.3,171373.9,0.925481068003938,Sin internet,3871,Boyacá
Hombre,Rural,15,Mayor,141821.2,29552.73,171373.9,0.172445920878267,Hacinamiento,699,Boyacá
Hombre,Rural,15,Mayor,152233.8,19140.13,171373.9,0.111686376980392,Sin paredes duraderas,6541,Boyacá
Hombre,Rural,15,Mayor,163744,7629.921,171373.9,0.0445220713305819,Sin pisos duraderos,6007,Boyacá
Hombre,Rural,15,Mayor,168492.3,2881.591,171373.9,0.0168146433033268,Sin electricidad,5473,Boyacá
Hombre,Rural,15,Menor,8966.998,89641.69,98608.69,0.90906480960248,Sin internet,3869,Boyacá
Hombre,Rural,15,Menor,63311.64,35297.05,98608.69,0.357950703938973,Hacinamiento,697,Boyacá
Hombre,Rural,15,Menor,88293.06,10315.63,98608.69,0.104611774073867,Sin paredes duraderas,6539,Boyacá
Hombre,Rural,15,Menor,95520.44,3088.246,98608.69,0.0313181931531592,Sin pisos duraderos,6005,Boyacá
Hombre,Rural,15,Menor,97385.735,1222.954,98608.69,0.0124020915398024,Sin electricidad,5471,Boyacá
Hombre,Rural,17,Mayor,6079.544,103495.3,109574.8,0.944517352529961,Sin internet,3876,Caldas
